name,owner,stargazerCount,created_at,time_since_created_at_in_seconds,pull_requests_accepted,releases_count,last_updated,current_date,time_since_last_update_in_seconds,primary_language,primary_language_mapping,total_issues,closed_issues,closed_issues_ratio
incubator-seata,apache,25190,2018-12-28T08:37:22Z,179247845.836757,2201,40,2024-09-01T16:21:24Z,2024-09-01 23:41:27.836757+00:00,26403.836757,Java,7.0,3813,3050,0.7998950957251508
ngx-admin,akveo,25185,2016-05-25T10:09:03Z,261063144.836757,343,19,2024-09-01T16:28:51Z,2024-09-01 23:41:27.836757+00:00,25956.836757,TypeScript,0.0,1752,1332,0.7602739726027398
dragonfly,dragonflydb,25183,2021-12-11T10:00:42Z,86017245.836757,2164,69,2024-09-01T19:42:27Z,2024-09-01 23:41:27.836757+00:00,14340.836757,C++,3.0,1105,972,0.8796380090497737
rollup,rollup,25181,2015-05-14T22:26:28Z,293591699.836757,1967,479,2024-09-01T15:20:44Z,2024-09-01 23:41:27.836757+00:00,30043.836757,JavaScript,2.0,3296,2762,0.8379854368932039
handson-ml,ageron,25155,2016-02-16T19:48:39Z,269581968.836757,56,0,2024-09-01T15:19:37Z,2024-09-01 23:41:27.836757+00:00,30110.836757,Jupyter Notebook,15.0,562,436,0.7758007117437722
iris,kataras,25114,2016-01-30T04:36:48Z,271105479.836757,391,22,2024-09-01T14:47:03Z,2024-09-01 23:41:27.836757+00:00,32064.836757,Go,8.0,991,879,0.8869828456104945
Avalonia,AvaloniaUI,25097,2013-12-05T20:13:21Z,338959686.836757,4855,87,2024-09-01T21:14:46Z,2024-09-01 23:41:27.836757+00:00,8801.836757,C#,11.0,6991,5614,0.8030324703189815
30-Days-Of-React,Asabeneh,25079,2020-09-29T13:38:54Z,123847353.836757,10,0,2024-09-01T23:48:54Z,2024-09-01 23:41:27.836757+00:00,-446.163243,JavaScript,2.0,71,17,0.23943661971830985
SDWebImage,SDWebImage,25028,2009-09-21T17:39:19Z,471679328.836757,934,150,2024-09-01T19:29:20Z,2024-09-01 23:41:27.836757+00:00,15127.836757,Objective-C,38.0,2323,2241,0.9647008179078778
jumpserver,jumpserver,24997,2014-07-04T03:54:59Z,320787988.836757,6565,228,2024-09-01T16:19:11Z,2024-09-01 23:41:27.836757+00:00,26536.836757,Python,1.0,6582,6543,0.9940747493163172
DeepSpeech,mozilla,24995,2016-06-02T15:04:53Z,260354194.836757,1338,105,2024-09-01T23:26:43Z,2024-09-01 23:41:27.836757+00:00,884.836757,C++,3.0,2111,1987,0.9412600663192799
firecracker,firecracker-microvm,24986,2017-10-19T06:18:47Z,216840160.836757,2701,71,2024-09-01T22:24:22Z,2024-09-01 23:41:27.836757+00:00,4625.836757,Rust,13.0,1403,1326,0.9451176051318603
ChatDev,OpenBMB,24954,2023-08-28T02:18:13Z,32044994.836757,106,8,2024-09-01T16:22:55Z,2024-09-01 23:41:27.836757+00:00,26312.836757,Shell,5.0,252,232,0.9206349206349206
apollo,ApolloAuto,24954,2017-07-04T19:03:31Z,226039076.836757,9727,12,2024-09-01T12:13:45Z,2024-09-01 23:41:27.836757+00:00,41262.836757,C++,3.0,4423,3618,0.8179968347275605
faas,openfaas,24942,2016-12-22T12:51:39Z,242822988.836757,679,11,2024-09-01T10:01:13Z,2024-09-01 23:41:27.836757+00:00,49214.836757,Go,8.0,847,816,0.9634002361275088
proxyee-down,proxyee-down-org,24939,2017-10-25T10:07:27Z,216308040.836757,16,49,2024-09-01T12:11:12Z,2024-09-01 23:41:27.836757+00:00,41415.836757,Java,7.0,0,0,
diffusers,huggingface,24938,2022-05-30T16:04:02Z,71307445.836757,3700,76,2024-09-01T23:48:10Z,2024-09-01 23:41:27.836757+00:00,-402.163243,Python,1.0,3976,3500,0.8802816901408451
go-patterns,tmrts,24915,2015-12-14T22:05:06Z,275103381.836757,10,0,2024-09-01T23:34:22Z,2024-09-01 23:41:27.836757+00:00,425.836757,Go,8.0,30,13,0.43333333333333335
react-native-elements,react-native-elements,24913,2016-09-08T14:21:41Z,251889586.836757,1209,85,2024-08-31T19:25:18Z,2024-09-01 23:41:27.836757+00:00,101769.836757,MDX,24.0,2110,2003,0.9492890995260663
